source,target,sign
Metab__8515_c,FAS,1
Metab__24995523_c,AURKC,-1
Metab__HMDB0014943_c,HTR2C,-1
Metab__71120_c,GRIN2A,1
Metab__135349_c,TNF,-1
Metab__HMDB0014757_c,MCL1,-1
Metab__11957615_c,HRH1,1
Metab__HMDB0014546_c,GABRA2,1
Metab__3143_c,MAPK3,1
Metab__2550_c,AGT,-1
Metab__637511_c,CASP3,1
Metab__5287969_c,CDK5,-1
Metab__166558_c,CYP2C19,-1
Metab__HMDB0014397_c,KCNH2,-1
Metab__HMDB0014704_c,MYL9,-1
Metab__119032_c,CASP3,1
Metab__HMDB0015149_c,ALOX5,-1
Metab__969491_c,MAPK1,1
Metab__115237_c,KCNH2,-1
Metab__HMDB0001849_c,ADRB2,1
Metab__HMDB0001849_c,ADRB2,-1
Metab__HMDB0001388_c,CYP7A1,1
Metab__448763_c,F2,-1
Metab__236666_c,AR,1
Metab__HMDB0059603_c,ABCG2,-1
Metab__104879_c,TLR4,1
Metab__2538_c,TOP1,-1
Metab__HMDB0014950_c,PTGS2,-1
Metab__HMDB0014948_c,CHRM1,-1
Metab__122227_c,BDKRB1,1
Metab__HMDB0015520_c,REN,-1
Metab__6268_c,GPX1,-1
Metab__3640_c,RETN,-1
Metab__59693_c,CYP17A1,-1
Metab__9907847_c,BCHE,-1
Metab__HMDB0001101_c,PLA2G1B,-1
Metab__3685_c,TOP2A,-1
Metab__293602_c,FGF1,-1
Metab__9935681_c,ITGA4,-1
Metab__HMDB0015317_c,HTR1A,1
Metab__HMDB0012897_c,MAOB,-1
Metab__HMDB0014378_c,PTGS2,-1
Metab__HMDB0015618_c,DRD2,-1
Metab__HMDB0141531_c,SLC2A1,-1
Metab__2907_c,NR1I2,1
Metab__HMDB0000910_c,PLA2G1B,-1
Metab__HMDB0001388_c,CD36,1
Metab__HMDB0002032_c,GCH1,-1
Metab__HMDB0000543_c,CFTR,1
Metab__5487426_c,CHRM1,-1
Metab__65351_c,MMP9,-1
Metab__4609_c,CASP7,1
Metab__HMDB0015605_c,RARB,1
Metab__9880_c,AR,-1
Metab__9317_c,MAP2K1,1
Metab__104858_c,CFTR,-1
Metab__HMDB0014956_c,FAAH,-1
Metab__HMDB0014894_c,GLUD1,-1
Metab__HMDB0014356_c,ADRA1B,1
Metab__888_c,ABCB1,1
Metab__5514_c,GRIK1,-1
Metab__3622_c,CHRM1,-1
Metab__HMDB0015015_c,HIF1A,-1
Metab__44475945_c,CEBPB,1
Metab__4355450_c,CCKBR,-1
Metab__HMDB0014997_c,EIF2AK3,1
Metab__HMDB0000058_c,KCNJ11,1
Metab__5280352_c,UGT2B15,-1
Metab__4580_c,CASP7,1
Metab__HMDB0014507_c,SREBF2,1
Metab__HMDB0014968_c,SLC6A2,-1
Metab__5462501_c,AGT,-1
Metab__5388961_c,REN,1
Metab__4722579_c,TP53,-1
Metab__5514_c,CA2,-1
Metab__104954_c,ESR1,-1
Metab__6446270_c,CFL1,1
Metab__11301_c,ESR2,1
Metab__HMDB0015558_c,HTR1A,-1
Metab__11380778_c,CASP9,1
Metab__HMDB0015565_c,CYP1A2,-1
Metab__3181_c,PGR,1
Metab__3589_c,MAP2K1,1
Metab__2763_c,AKR1B10,-1
Metab__5103_c,PRKCD,-1
Metab__9886808_c,FGFR3,-1
Metab__HMDB0014372_c,CASP9,1
Metab__9796290_c,DPP4,-1
Metab__27991_c,VWF,1
Metab__HMDB0014728_c,KCNH2,-1
Metab__HMDB0014656_c,FANCD2,1
Metab__HMDB0000609_c,MAP3K5,1
Metab__HMDB0014393_c,HTR2B,1
Metab__11977753_c,CASP3,1
Metab__446553_c,TYMS,-1
Metab__20298_c,CHRM2,-1
Metab__HMDB0005020_c,DRD2,1
Metab__6859_c,TXNRD1,-1
Metab__170361_c,CHRNA6,1
Metab__2185_c,CNR2,1
Metab__91563_c,CASP3,1
Metab__5381226_c,CYP24A1,1
Metab__HMDB0000067_c,PON1,1
Metab__2514_c,CAPNS1,1
Metab__3048_c,AHR,1
Metab__HMDB0014473_c,AKR1C3,-1
Metab__HMDB0015166_c,ABCC1,-1
Metab__5538_c,MAPK1,1
Metab__HMDB0015242_c,CYP2C19,-1
Metab__HMDB0014918_c,MAOA,1
Metab__HMDB0014918_c,MAOA,-1
Metab__HMDB0015644_c,HRH3,-1
Metab__HMDB0014989_c,PGD,-1
Metab__HMDB0005028_c,ADRA1A,-1
Metab__6326656_c,RYR1,-1
Metab__HMDB0003125_c,CREB1,-1
Metab__2019_c,TP53,1
Metab__HMDB0015051_c,KCNH2,-1
Metab__15938_c,MAPK9,1
Metab__17435_c,CYP2C9,-1
Metab__3837_c,CAMK1,-1
Metab__HMDB0011624_c,CFTR,1
Metab__HMDB0030964_c,APOA2,1
Metab__HMDB0002726_c,NR1H4,-1
Metab__HMDB0014810_c,ABCC8,-1
Metab__64945_c,TOP2A,-1
Metab__HMDB0000058_c,EZR,1
Metab__5538_c,RXRA,1
Metab__HMDB0032127_c,TSHR,-1
Metab__HMDB0002209_c,MAPK3,1
Metab__121963_c,HSD11B1,-1
Metab__65569_c,AKR1C2,-1
Metab__HMDB0005809_c,CASP9,1
Metab__HMDB0031803_c,ACHE,-1
Metab__6918714_c,HDAC1,-1
Metab__2156_c,ABCB1,-1
Metab__3246323_c,CDK7,-1
Metab__24772180_c,TACR2,-1
Metab__HMDB0003125_c,SOD2,-1
Metab__HMDB0030964_c,CPT1A,1
Metab__2512_c,HTR1A,1
Metab__HMDB0003378_c,NOS3,1
Metab__HMDB0001850_c,NR1I2,1
Metab__123679_c,ADRA2C,-1
Metab__446220_c,SLC6A2,-1
Metab__HMDB0015300_c,KCNH2,-1
Metab__106_c,RHO,-1
Metab__5282429_c,CYP1A1,1
Metab__447108_c,PDE5A,-1
Metab__HMDB0030831_c,GSR,-1
Metab__HMDB0014328_c,FOS,1
Metab__HMDB0014328_c,FOS,-1
Metab__3213_c,TOP2A,-1
Metab__8515_c,TTK,-1
Metab__HMDB0014466_c,OPRD1,1
Metab__HMDB0015158_c,CACNA1D,-1
Metab__1016_c,PRKCQ,-1
Metab__20298_c,CHRM1,-1
Metab__8606_c,GSTP1,-1
Metab__10228_c,MMP2,-1
Metab__HMDB0240214_c,EPHB4,-1
Metab__1549007_c,SQLE,-1
Metab__3354088_c,CELA1,-1
Metab__HMDB0013248_c,HSD11B2,-1
Metab__71360_c,HTR7,-1
Metab__11210478_c,CASP3,1
Metab__5281873_c,NR1I2,1
Metab__3209_c,NPAS2,1
Metab__24856436_c,WEE1,-1
Metab__HMDB0006049_c,KIT,-1
Metab__HMDB0014754_c,MME,-1
Metab__HMDB0015132_c,SOD2,-1
Metab__5319925_c,MAPK1,1
Metab__762_c,KPNB1,1
Metab__HMDB0000142_c,ABCA1,-1
Metab__HMDB0001999_c,APOA5,1
Metab__101526_c,TOP2A,-1
Metab__5458769_c,PRKCE,1
Metab__HMDB0001915_c,PTPN4,-1
Metab__HMDB0001999_c,APOA2,1
Metab__5281222_c,DIO2,-1
Metab__HMDB0029596_c,CYP2E1,1
Metab__HMDB0014683_c,DRD2,-1
Metab__HMDB0240214_c,YES1,-1
Metab__HMDB0041822_c,CASP7,1
Metab__8546_c,MAPK1,1
Metab__HMDB0240214_c,LCK,-1
Metab__HMDB0000464_c,ADCY5,-1
Metab__HMDB0014325_c,ALOX5,-1
Metab__HMDB0001389_c,MTOR,1
Metab__HMDB0003501_c,ALOX15,-1
Metab__10667_c,GAPDH,-1
Metab__HMDB0030831_c,CASP3,1
Metab__HMDB0003217_c,CYP1A2,-1
Metab__11712649_c,AURKA,-1
Metab__HMDB0014816_c,AGT,-1
Metab__274_c,FHL5,1
Metab__36462_c,AKT1,1
Metab__36462_c,AKT1,-1
Metab__5376_c,PRKCA,-1
Metab__HMDB0000710_c,SLC52A2,1
Metab__3086654_c,CHRM2,-1
Metab__HMDB0060530_c,NR1I2,1
Metab__HMDB0014466_c,SLC6A4,-1
Metab__76_c,CYP1A1,-1
Metab__16219954_c,OPRD1,1
Metab__HMDB0003125_c,IL6,1
Metab__10096043_c,HSP90AA1,-1
Metab__HMDB0014937_c,CASP3,1
Metab__153241_c,EGFR,-1
Metab__HMDB0014761_c,CALM1,-1
Metab__HMDB0015171_c,TACR1,-1
Metab__HMDB0014656_c,ATG5,1
Metab__1628_c,PTPN1,-1
Metab__5311254_c,DRD3,-1
Metab__6293_c,CYP2E1,-1
Metab__10226415_c,CDK9,-1
Metab__56841936_c,F11,-1
Metab__HMDB0001924_c,ADRB1,-1
Metab__197400_c,CHRM4,1
Metab__HMDB0124735_c,FCER1A,-1
Metab__HMDB0002329_c,LTF,-1
Metab__2770_c,CDKN1A,1
Metab__HMDB0000464_c,PPP3CC,1
Metab__HMDB0003125_c,IGF1,1
Metab__HMDB0003125_c,IGF1,-1
Metab__HMDB0003125_c,PTEN,-1
Metab__HMDB0029596_c,KCNH2,-1
Metab__439520_c,MTOR,1
Metab__2159_c,HTR7,-1
Metab__HMDB0041929_c,HDAC3,-1
Metab__13089_c,KCNA3,-1
Metab__HMDB0001830_c,HSD11B2,-1
Metab__4782_c,REN,-1
Metab__65146_c,SLC25A4,-1
Metab__2750_c,DIO2,1
Metab__2832_c,ABCB1,1
Metab__5064_c,IMPDH1,-1
Metab__HMDB0014959_c,PTGS1,-1
Metab__35823_c,CYP1A2,-1
Metab__HMDB0014714_c,REN,1
Metab__HMDB0014714_c,REN,-1
Metab__HMDB0000464_c,HDAC1,1
Metab__2339_c,CTSF,-1
Metab__11167602_c,BRAF,-1
Metab__3310_c,AKT1,1
Metab__3310_c,AKT1,-1
Metab__703_c,NQO1,-1
Metab__HMDB0015329_c,GABRA2,1
Metab__HMDB0000990_c,PTPN1,-1
Metab__5279_c,JAK2,-1
Metab__5353800_c,MTOR,1
Metab__5538_c,GDNF,-1
Metab__HMDB0014393_c,DRD4,1
Metab__HMDB0015437_c,AGTR1,-1
Metab__HMDB0014808_c,CHRM1,-1
Metab__644066_c,CPT1B,-1
Metab__637511_c,MAPK3,1
Metab__HMDB0014334_c,CASP8,1
Metab__HMDB0015197_c,PIK3R3,1
Metab__5324345_c,CASP3,1
Metab__1690_c,CASP6,1
Metab__5917_c,FOS,1
Metab__HMDB0015264_c,ADIPOQ,1
Metab__3449_c,CES2,-1
Metab__HMDB0005007_c,F2,-1
Metab__HMDB0003747_c,PTEN,1
Metab__HMDB0003747_c,PTEN,-1
Metab__9933475_c,PDGFRB,-1
Metab__HMDB0015343_c,DHFR,-1
Metab__5311055_c,CRHR1,-1
Metab__2770_c,TNFRSF10A,1
Metab__HMDB0013188_c,MMP3,-1
Metab__HMDB0014389_c,PTGS2,-1
Metab__36462_c,TP53,1
Metab__5329098_c,C1S,-1
Metab__HMDB0005005_c,IL4,-1
Metab__40846_c,RELA,1
Metab__HMDB0014922_c,PTGS2,-1
Metab__HMDB0015565_c,PTGS2,-1
Metab__447715_c,NR1H4,1
Metab__5280878_c,CYSLTR1,1
Metab__HMDB0014415_c,CACNA1C,-1
Metab__2361_c,CYP1A1,1
Metab__2361_c,CYP1A1,-1
Metab__40566381_c,AKR1B10,-1
Metab__70789204_c,MTOR,-1
Metab__HMDB0014473_c,PLA2G2A,-1
Metab__11294_c,BCHE,-1
Metab__4473_c,ADRA1D,-1
Metab__15981080_c,NTRK1,-1
Metab__HMDB0014619_c,SLC6A2,-1
Metab__HMDB0001547_c,AR,1
Metab__HMDB0015267_c,KCNH2,-1
Metab__HMDB0015158_c,CYP2C8,-1
Metab__24380_c,ATM,1
Metab__HMDB0014507_c,DRD2,-1
Metab__25011733_c,F2,-1
Metab__HMDB0014466_c,NTRK2,1
Metab__888_c,DLAT,1
Metab__HMDB0001847_c,CHEK1,-1
Metab__4973_c,CLOCK,-1
Metab__206_c,HMOX1,-1
Metab__1444_c,RELA,-1
Metab__HMDB0015267_c,ABCB1,-1
Metab__HMDB0000220_c,CPT2,1
Metab__HMDB0034271_c,CYP3A4,-1
Metab__HMDB0015467_c,NR3C2,-1
Metab__HMDB0014324_c,ACE,-1
Metab__HMDB0000220_c,NFYA,1
Metab__HMDB0014507_c,ADRA1B,-1
Metab__170018_c,TYMS,-1
Metab__5326871_c,MAPK14,-1
Metab__HMDB0003378_c,GUCY1B1,1
Metab__10226415_c,CDK5,-1
Metab__HMDB0015388_c,MAPK3,-1
Metab__92409_c,SLC6A1,-1
Metab__2215_c,DRD3,1
Metab__HMDB0062429_c,AHR,1
Metab__17754027_c,CDK5,-1
Metab__6027_c,LCT,-1
Metab__54677977_c,DHODH,-1
Metab__HMDB0001879_c,MAPK3,1
Metab__HMDB0001879_c,MAPK3,-1
Metab__24795102_c,ELANE,-1
Metab__HMDB0015110_c,PDE5A,-1
Metab__HMDB0014669_c,CACNA2D1,-1
Metab__HMDB0032567_c,ESR1,1
Metab__HMDB0000042_c,NOS1,-1
Metab__HMDB0003364_c,CASP7,-1
Metab__1548886_c,CASP9,1
Metab__11442891_c,AURKA,-1
Metab__9317_c,MAPK3,1
Metab__3209_c,ANKRD1,1
Metab__108147_c,TACR3,1
Metab__3032581_c,HDAC3,-1
Metab__4157_c,CHRM1,-1
Metab__59757_c,IL4,-1
Metab__2770_c,TNFSF10,1
Metab__104973_c,ADRA2C,1
Metab__11064567_c,PGD,-1
Metab__5408_c,IGFBP3,1
Metab__91649_c,AR,-1
Metab__16004692_c,EDNRA,-1
Metab__HMDB0015025_c,CDK2,1
Metab__64142_c,CYP3A4,-1
Metab__HMDB0015280_c,CASP3,1
Metab__4784_c,CES3,-1
Metab__729859_c,CASP3,-1
Metab__10461_c,CXCL8,1
Metab__5490139_c,STAT5A,-1
Metab__HMDB0005007_c,CCL2,-1
Metab__6445226_c,F2,-1
Metab__HMDB0015061_c,CALM2,-1
Metab__39562_c,BID,1
Metab__888_c,DLD,1
Metab__HMDB0002434_c,MAPK3,1
Metab__HMDB0015264_c,HSD3B2,-1
Metab__312_c,ANXA5,1
Metab__1079_c,MAT2A,-1
Metab__HMDB0014551_c,PF4,1
Metab__HMDB0014551_c,PF4,-1
Metab__HMDB0014937_c,RARA,1
Metab__596_c,POLB,-1
Metab__HMDB0014450_c,PARP1,1
Metab__77998_c,ATP2A2,1
Metab__HMDB0014969_c,CALM1,-1
Metab__65071_c,CYP3A4,-1
Metab__HMDB0000151_c,CASP3,1
Metab__HMDB0000151_c,CASP3,-1
Metab__3922_c,RARA,1
Metab__443940_c,ADRA2A,1
Metab__24012_c,CASR,1
Metab__HMDB0014334_c,PSMD1,-1
Metab__10340_c,CACNA1H,-1
Metab__346926_c,LTA4H,-1
Metab__HMDB0015116_c,ACHE,-1
Metab__HMDB0000464_c,PRKCD,1
Metab__HMDB0000641_c,CTPS1,-1
Metab__5414_c,RHO,-1
Metab__15624_c,GSTP1,-1
Metab__HMDB0001924_c,RYR2,1
Metab__HMDB0000220_c,APOA5,1
Metab__354677_c,CASP3,1
Metab__3793_c,CYP1A1,1
Metab__3793_c,CYP1A1,-1
Metab__1548886_c,SRC,-1
Metab__5538_c,RARA,1
Metab__10359_c,DDC,1
Metab__2703_c,CFTR,-1
Metab__HMDB0000464_c,PRKAR1B,1
Metab__2514_c,OGG1,-1
Metab__115237_c,DRD2,-1
Metab__91754_c,ESR1,1
Metab__942_c,PRKCA,1
Metab__3973_c,GSK3B,1
Metab__618_c,GCKR,1
Metab__618_c,GCKR,-1
Metab__3032_c,NQO1,1
Metab__HMDB0015096_c,SCN10A,-1
Metab__HMDB0015316_c,ESR1,-1
Metab__1613_c,AKR1B10,-1
Metab__28486_c,GSK3B,-1
Metab__HMDB0035659_c,IL1B,1
Metab__92117_c,SP3,1
Metab__HMDB0015015_c,RPS6KB1,-1
Metab__4894_c,NR3C1,1
Metab__5538_c,CEBPA,1
Metab__4858_c,PARP1,-1
Metab__HMDB0033826_c,CASP3,-1
Metab__HMDB0014562_c,GRIA2,-1
Metab__3640_c,IL6,1
Metab__3640_c,IL6,-1
Metab__77998_c,GCG,1
Metab__206_c,RELA,1
Metab__HMDB0014426_c,SCN10A,-1
Metab__HMDB0014515_c,PRKCE,1
Metab__5324345_c,CASP7,1
Metab__HMDB0015374_c,ATP1A1,-1
Metab__HMDB0015009_c,NFKB1,-1
Metab__22557045_c,ERBB2,-1
Metab__55466_c,PGD,-1
Metab__11597571_c,ALK,-1
Metab__9887754_c,DPP4,-1
Metab__16007391_c,AURKB,-1
Metab__5235_c,CASP9,1
Metab__443407_c,POMC,-1
Metab__440038_c,C3,1
Metab__22094_c,ESR1,1
Metab__3230_c,REN,-1
Metab__HMDB0062469_c,MMP9,1
Metab__HMDB0014624_c,CYP3A4,-1
Metab__443940_c,ADRA1D,1
Metab__HMDB0000220_c,ABCB4,1
Metab__5326713_c,NR1H4,1
Metab__HMDB0000067_c,ABCA1,1
Metab__24459_c,ESR1,1
Metab__HMDB0015344_c,ADH1B,-1
Metab__HMDB0005007_c,PLAT,1
Metab__HMDB0000042_c,AKR1C3,-1
Metab__104731_c,SCN5A,-1
Metab__6169_c,ADRA1A,-1
Metab__HMDB0015084_c,GRIN2A,-1
Metab__HMDB0062469_c,NFKB1,1
Metab__6918537_c,DPP4,-1
Metab__26721_c,POMC,-1
Metab__HMDB0062765_c,HMOX1,1
Metab__30332_c,REN,1
Metab__3143_c,CASP3,1
Metab__3931_c,SULT2A1,1
Metab__5591_c,GSK3B,-1
Metab__124134_c,HDAC1,-1
Metab__444708_c,FECH,-1
Metab__10356116_c,PPARG,-1
Metab__HMDB0015175_c,VEGFA,-1
Metab__10909430_c,A2M,-1
Metab__HMDB0014462_c,FOXO3,1
Metab__HMDB0034029_c,GSTP1,-1
Metab__5815_c,EDN1,1
Metab__4008_c,CYP2C9,-1
Metab__1548886_c,PTGS2,-1
Metab__24424_c,EGFR,1
Metab__3310_c,CASP3,1
Metab__3251_c,CASP3,1
Metab__HMDB0003747_c,SOD2,1
Metab__10205_c,DHODH,-1
Metab__37392_c,KCNH2,-1
Metab__HMDB0005801_c,CYP1A1,1
Metab__HMDB0005801_c,CYP1A1,-1
Metab__HMDB0014421_c,TOP2B,-1
Metab__HMDB0002434_c,TNF,-1
Metab__HMDB0001892_c,CYP1A1,1
Metab__5281728_c,CYP1A1,-1
Metab__HMDB0001903_c,CASP3,1
Metab__2319_c,NR1I2,1
Metab__387042_c,CASP3,1
Metab__24424_c,MAPK3,1
Metab__11167602_c,PDGFRA,-1
Metab__HMDB0005020_c,CASP3,1
Metab__163742_c,F10,-1
Metab__4473_c,CYP3A4,-1
Metab__6443207_c,SIRT1,1
Metab__HMDB0031767_c,UBA1,1
Metab__24470_c,HSF1,1
Metab__38479_c,ESR2,1
Metab__HMDB0015391_c,ATR,1
Metab__HMDB0001361_c,CYP2E1,-1
Metab__HMDB0240214_c,ABL1,-1
Metab__10461_c,CASP8,1
Metab__11434515_c,CHRM5,-1
Metab__4169_c,ABCB1,1
Metab__HMDB0014680_c,ADRA1D,-1
Metab__HMDB0014353_c,CYP2B6,-1
Metab__439520_c,ABCC3,1
Metab__3931_c,CYP7A1,1
Metab__5056_c,IL1B,-1
Metab__4046_c,ADORA2A,-1
Metab__4473_c,CYP1A2,-1
Metab__23990_c,TP53,1
Metab__3456_c,AGTR1,-1
Metab__5306_c,FGFR2,-1
Metab__HMDB0011603_c,MYC,1
Metab__HMDB0014520_c,CHRM2,-1
Metab__HMDB0041967_c,CYP2B6,-1
Metab__164469_c,SSTR1,1
Metab__HMDB0003378_c,NPR1,1
Metab__HMDB0005021_c,ABCB1,-1
Metab__HMDB0015070_c,ADRA1D,1
Metab__HMDB0014629_c,CNR1,1
