source,target,sign
Metab__HMDB0000220_c,NOS3,1
Metab__4782_c,ADRA1D,1
Metab__45142457_c,MET,-1
Metab__4369524_c,PGR,-1
Metab__HMDB0015366_c,GRIA1,-1
Metab__6918486_c,NGFR,-1
Metab__231_c,SLC27A1,1
Metab__HMDB0014826_c,IMPDH2,-1
Metab__16886_c,CSNK2A1,1
Metab__23994_c,PTPN1,-1
Metab__HMDB0014864_c,HTR2C,-1
Metab__HMDB0001537_c,CASP3,1
Metab__HMDB0002287_c,CASP3,1
Metab__HMDB0015158_c,CACNB2,-1
Metab__HMDB0036619_c,RELA,1
Metab__60853_c,CHRM3,-1
Metab__19001_c,TYMS,-1
Metab__47936_c,ADCY2,1
Metab__HMDB0005012_c,DRD4,-1
Metab__15625_c,ACHE,-1
Metab__HMDB0014486_c,KCNH2,-1
Metab__6918852_c,CDK4,-1
Metab__40839_c,TUBB1,-1
Metab__HMDB0015101_c,PPARG,1
Metab__HMDB0015300_c,GSK3B,1
Metab__71482_c,ACHE,-1
Metab__51767_c,DRD3,-1
Metab__5328940_c,MAP2K2,-1
Metab__HMDB0000108_c,GLRA1,1
Metab__3854666_c,CXCR2,-1
Metab__HMDB0003747_c,CASP2,1
Metab__HMDB0014328_c,SLC6A4,1
Metab__HMDB0002755_c,SIRT1,1
Metab__115111_c,HTR1A,-1
Metab__114835_c,GPX1,1
Metab__HMDB0001859_c,PTGS2,-1
Metab__HMDB0015163_c,AGTR1,-1
Metab__HMDB0014751_c,CYP2C19,-1
Metab__HMDB0001915_c,PTPRE,-1
Metab__442108_c,SCN5A,-1
Metab__HMDB0029864_c,ESR1,-1
Metab__25074886_c,GNRHR,-1
Metab__56928089_c,RAC1,1
Metab__HMDB0014514_c,HRH1,-1
Metab__3954_c,CACNA1A,-1
Metab__HMDB0001273_c,TUBA1C,1
Metab__HMDB0001273_c,TUBA1A,1
Metab__219100_c,SPHK2,-1
Metab__516896_c,CA9,-1
Metab__3606_c,SULT1E1,-1
Metab__450_c,CASP3,1
Metab__450_c,CASP3,-1
Metab__871_c,CHUK,1
Metab__HMDB0015549_c,TLR7,-1
Metab__HMDB0015372_c,SLC6A2,-1
Metab__HMDB0000673_c,ANGPTL4,1
Metab__5032_c,SLC6A2,-1
Metab__HMDB0014944_c,ICAM1,-1
Metab__2126_c,IRF1,1
Metab__HMDB0001852_c,MAP2K1,1
Metab__39507_c,NR3C1,1
Metab__HMDB0001903_c,CSK,1
Metab__HMDB0000538_c,MAPK8,1
Metab__HMDB0000538_c,MAPK8,-1
Metab__HMDB0060292_c,CAT,-1
Metab__5793_c,CEBPA,1
Metab__27991_c,AVPR2,1
Metab__51767_c,DRD2,-1
Metab__6537_c,NR3C1,-1
Metab__122149_c,EDNRB,-1
Metab__HMDB0003125_c,FOXO1,1
Metab__HMDB0015282_c,CYP2E1,-1
Metab__HMDB0001256_c,NOS2,1
Metab__HMDB0000355_c,HMGCR,-1
Metab__2514_c,CDH1,1
Metab__9928284_c,CHRM1,1
Metab__HMDB0000464_c,PYGM,1
Metab__HMDB0003125_c,CYP1A1,-1
Metab__HMDB0015002_c,NFATC2,-1
Metab__444030_c,CHRM3,-1
Metab__HMDB0005007_c,NFKB1,1
Metab__HMDB0005007_c,NFKB1,-1
Metab__2512_c,ADRA2A,-1
Metab__56683541_c,CASP3,1
Metab__HMDB0014564_c,HRH1,-1
Metab__HMDB0005020_c,CASP7,1
Metab__HMDB0001890_c,IKBKB,-1
Metab__93860_c,MAPK3,-1
Metab__HMDB0001852_c,CYP3A4,1
Metab__HMDB0001852_c,CYP3A4,-1
Metab__HMDB0014951_c,OPRK1,1
Metab__HMDB0014602_c,CASP3,1
Metab__450_c,SRC,1
Metab__3973_c,TF,-1
Metab__HMDB0001941_c,CHRM4,-1
Metab__HMDB0094708_c,ACHE,-1
Metab__761_c,PPAT,1
Metab__HMDB0002961_c,CYP7B1,-1
Metab__HMDB0003125_c,PTGS2,1
Metab__HMDB0015173_c,PLA2G7,-1
Metab__448457_c,CXCL8,1
Metab__HMDB0015229_c,NR1I2,1
Metab__56654642_c,HDAC1,-1
Metab__HMDB0001510_c,MAPK14,1
Metab__HMDB0001889_c,CYP2E1,1
Metab__HMDB0001942_c,ADRA1A,1
Metab__3054_c,HSPB1,1
Metab__HMDB0000220_c,ACSL1,1
Metab__5896_c,"NAT1",-1
Metab__1546_c,RRM2,-1
Metab__4705_c,EGFR,-1
Metab__3238_c,LTA4H,-1
Metab__HMDB0015260_c,PTEN,1
Metab__448281_c,ACE2,-1
Metab__22382_c,DYRK1A,-1
Metab__HMDB0013035_c,PNPLA6,-1
Metab__HMDB0062469_c,TPO,1
Metab__HMDB0014823_c,ATR,1
Metab__HMDB0037217_c,CYP1A2,-1
Metab__HMDB0015300_c,CASP9,1
Metab__6328537_c,CASP3,1
Metab__HMDB0014864_c,ADRA1A,-1
Metab__1967_c,HSD11B2,1
Metab__HMDB0031991_c,MMP2,1
Metab__HMDB0031991_c,MMP2,-1
Metab__2729_c,CHRM2,-1
Metab__8987_c,CYP2C19,-1
Metab__HMDB0002290_c,MAPK1,1
Metab__HMDB0013860_c,CTSB,-1
Metab__60752_c,CACNG1,1
Metab__HMDB0000077_c,ESR1,1
Metab__6439232_c,ADRB3,1
Metab__11563635_c,ITGB1,-1
Metab__HMDB0240214_c,EPHA5,-1
Metab__194327_c,MMP8,-1
Metab__HMDB0000464_c,PLCD1,1
Metab__HMDB0002725_c,AR,1
Metab__2806_c,CD40LG,-1
Metab__HMDB0003125_c,CASP3,1
Metab__HMDB0060489_c,ATF6,1
Metab__HMDB0003555_c,BGLAP,1
Metab__5722_c,MAPK3,1
Metab__4272_c,NR1I2,1
Metab__24424_c,HSF1,1
Metab__3973_c,CASP3,-1
Metab__65110_c,FOXO1,1
Metab__HMDB0014987_c,GRIA2,-1
Metab__5090_c,PTGS1,-1
Metab__HMDB0014542_c,MAPK1,-1
Metab__HMDB0011603_c,PTGS2,1
Metab__4739_c,ADA,-1
Metab__644213_c,RXRA,-1
Metab__4578_c,CYP1A2,-1
Metab__HMDB0059650_c,APEX1,1
Metab__5311507_c,DRD5,-1
Metab__442783_c,MMP9,-1
Metab__46885626_c,AURKB,-1
Metab__134264_c,DNMT1,-1
Metab__3973_c,VEGFA,-1
Metab__HMDB0014487_c,CYP3A4,-1
Metab__HMDB0014656_c,HIF1A,-1
Metab__2514_c,PLCB1,1
Metab__HMDB0014624_c,TERT,1
Metab__91501_c,CASP9,1
Metab__HMDB0000538_c,RPS25,1
Metab__2372_c,ADRB2,-1
Metab__HMDB0014473_c,CTNNB1,-1
Metab__124437_c,ALOX5AP,-1
Metab__HMDB0014488_c,SLC6A4,-1
Metab__HMDB0014600_c,ADRA1A,-1
Metab__10205_c,AKT1,-1
Metab__450_c,EGFR,1
Metab__77998_c,GIP,1
Metab__208901_c,PPARG,1
Metab__1433_c,NOS3,-1
Metab__4133412_c,SLC1A2,-1
Metab__HMDB0240214_c,CSF1R,-1
Metab__888_c,PDHA1,1
Metab__HMDB0014865_c,CTNNB1,-1
Metab__HMDB0002124_c,CYP3A4,-1
Metab__HMDB0005014_c,AKT1,-1
Metab__HMDB0015300_c,MAPK9,1
Metab__HMDB0014638_c,CASP3,1
Metab__HMDB0014684_c,EGFR,-1
Metab__HMDB0014576_c,CASP3,1
Metab__HMDB0001849_c,CYP1A2,-1
Metab__62852_c,NR3C1,-1
Metab__HMDB0000108_c,CASP3,1
Metab__11009_c,PON1,-1
Metab__HMDB0000957_c,CASP9,1
Metab__2561_c,HSD11B1,-1
Metab__HMDB0015132_c,CASP6,1
Metab__11947681_c,NPR1,1
Metab__HMDB0000673_c,UGT1A9,1
Metab__24934_c,SOD1,1
Metab__617_c,GRIN3A,1
Metab__274_c,CALM2,1
Metab__3972_c,HTR2C,-1
Metab__9874175_c,ADRB2,1
Metab__173616_c,CNR1,-1
Metab__38018_c,NR1I2,1
Metab__2833_c,TUBB1,-1
Metab__HMDB0014545_c,CACNB2,-1
Metab__3224_c,JUN,1
Metab__HMDB0240214_c,NTRK2,-1
Metab__HMDB0015132_c,NR3C1,-1
Metab__HMDB0240214_c,EPHB3,-1
